Date;S&P;Dividend;S&P precent;Dividend percent;Total percent
1871.01;4.44;0.26;1;0.00487988;1.00487988
1871.02;4.5;0.26;1.013513514;0.004814815;1.018328329
1871.03;4.61;0.26;1.024444444;0.004699928;1.029144372
1871.04;4.74;0.26;1.028199566;0.004571027;1.032770593
1871.05;4.86;0.26;1.025316456;0.004458162;1.029774618
1871.06;4.82;0.26;0.991769547;0.004495159;0.996264706
1871.07;4.73;0.26;0.981327801;0.004580691;0.985908492
1871.08;4.79;0.26;1.012684989;0.004523312;1.017208301
1871.09;4.84;0.26;1.010438413;0.004476584;1.014914997
1871.1;4.59;0.26;0.948347107;0.004720407;0.953067514
1871.11;4.64;0.26;1.010893246;0.00466954;1.015562786
1871.12;4.74;0.26;1.021551724;0.004571027;1.026122751
1872.01;4.86;0.26;1.025316456;0.004458162;1.029774618
1872.02;4.88;0.27;1.004115226;0.004610656;1.008725882
1872.03;5.04;0.27;1.032786885;0.004464286;1.037251171
1872.04;5.18;0.27;1.027777778;0.004343629;1.032121407
1872.05;5.18;0.28;1;0.004504505;1.004504505
1872.06;5.13;0.28;0.99034749;0.004548408;0.994895898
1872.07;5.1;0.28;0.994152047;0.004575163;0.99872721
1872.08;5.04;0.29;0.988235294;0.004794974;0.993030268
1872.09;4.95;0.29;0.982142857;0.004882155;0.987025012
1872.1;4.97;0.29;1.004040404;0.004862508;1.008902912
1872.11;4.95;0.3;0.995975855;0.005050505;1.00102636
1872.12;5.07;0.3;1.024242424;0.004930966;1.02917339
1873.01;5.11;0.3;1.007889546;0.004892368;1.012781914
1873.02;5.15;0.31;1.007827789;0.005016181;1.01284397
1873.03;5.11;0.31;0.99223301;0.005055447;0.997288457
1873.04;5.04;0.31;0.98630137;0.005125661;0.991427031
1873.05;5.05;0.31;1.001984127;0.005115512;1.007099639
1873.06;4.98;0.32;0.986138614;0.005354752;0.991493366
1873.07;4.97;0.32;0.997991968;0.005365526;1.003357494
1873.08;4.97;0.32;1;0.005365526;1.005365526
1873.09;4.59;0.32;0.923541247;0.005809731;0.929350978
1873.1;4.19;0.33;0.912854031;0.006563246;0.919417277
1873.11;4.04;0.33;0.964200477;0.006806931;0.971007408
1873.12;4.42;0.33;1.094059406;0.006221719;1.100281125
1874.01;4.66;0.33;1.054298643;0.005901288;1.060199931
1874.02;4.8;0.33;1.030042918;0.005729167;1.035772085
1874.03;4.73;0.33;0.985416667;0.005813953;0.99123062
1874.04;4.6;0.33;0.972515856;0.005978261;0.978494117
1874.05;4.48;0.33;0.973913043;0.006138393;0.980051436
1874.06;4.46;0.33;0.995535714;0.006165919;1.001701633
1874.07;4.46;0.33;1;0.006165919;1.006165919
1874.08;4.47;0.33;1.002242152;0.006152125;1.008394277
1874.09;4.54;0.33;1.015659955;0.006057269;1.021717224
1874.1;4.53;0.33;0.997797357;0.00607064;1.003867997
1874.11;4.57;0.33;1.008830022;0.006017505;1.014847527
1874.12;4.54;0.33;0.993435449;0.006057269;0.999492718
1875.01;4.54;0.33;1;0.006057269;1.006057269
1875.02;4.53;0.33;0.997797357;0.00607064;1.003867997
1875.03;4.59;0.32;1.013245033;0.005809731;1.019054764
1875.04;4.65;0.32;1.013071895;0.005734767;1.018806662
1875.05;4.47;0.32;0.961290323;0.005965697;0.96725602
1875.06;4.38;0.32;0.979865772;0.00608828;0.985954052
1875.07;4.39;0.31;1.002283105;0.005884586;1.008167691
1875.08;4.41;0.31;1.004555809;0.005857899;1.010413708
1875.09;4.37;0.31;0.990929705;0.005911518;0.996841223
1875.1;4.3;0.31;0.983981693;0.006007752;0.989989445
1875.11;4.37;0.3;1.01627907;0.005720824;1.021999894
1875.12;4.37;0.3;1;0.005720824;1.005720824
1876.01;4.46;0.3;1.020594966;0.005605381;1.026200347
1876.02;4.52;0.3;1.013452915;0.005530973;1.018983888
1876.03;4.51;0.3;0.997787611;0.005543237;1.003330848
1876.04;4.34;0.3;0.962305987;0.005760369;0.968066356
1876.05;4.18;0.3;0.963133641;0.005980861;0.969114502
1876.06;4.15;0.3;0.992822967;0.006024096;0.998847063
1876.07;4.1;0.3;0.987951807;0.006097561;0.994049368
1876.08;3.93;0.3;0.958536585;0.006361323;0.964897908
1876.09;3.69;0.3;0.938931298;0.006775068;0.945706366
1876.1;3.67;0.3;0.994579946;0.006811989;1.001391935
1876.11;3.6;0.3;0.980926431;0.006944444;0.987870875
1876.12;3.58;0.3;0.994444444;0.00698324;1.001427684
1877.01;3.55;0.29;0.991620112;0.006807512;0.998427624
1877.02;3.34;0.28;0.94084507;0.006986028;0.947831098
1877.03;3.17;0.27;0.949101796;0.007097792;0.956199588
1877.04;2.94;0.26;0.927444795;0.007369615;0.93481441
1877.05;2.94;0.25;1;0.007086168;1.007086168
1877.06;2.73;0.25;0.928571429;0.007631258;0.936202687
1877.07;2.85;0.24;1.043956044;0.007017544;1.050973588
1877.08;3.05;0.23;1.070175439;0.006284153;1.076459592
1877.09;3.24;0.22;1.062295082;0.005658436;1.067953518
1877.1;3.31;0.21;1.021604938;0.005287009;1.026891947
1877.11;3.26;0.2;0.98489426;0.005112474;0.990006734
1877.12;3.25;0.19;0.996932515;0.004871795;1.00180431
1878.01;3.25;0.19;1;0.004871795;1.004871795
1878.02;3.18;0.19;0.978461538;0.004979036;0.983440574
1878.03;3.24;0.19;1.018867925;0.004886831;1.023754756
1878.04;3.33;0.19;1.027777778;0.004754755;1.032532533
1878.05;3.34;0.19;1.003003003;0.004740519;1.007743522
1878.06;3.41;0.19;1.020958084;0.004643206;1.02560129
1878.07;3.48;0.18;1.020527859;0.004310345;1.024838204
1878.08;3.45;0.18;0.99137931;0.004347826;0.995727136
1878.09;3.52;0.18;1.020289855;0.004261364;1.024551219
1878.1;3.48;0.18;0.988636364;0.004310345;0.992946709
1878.11;3.47;0.18;0.997126437;0.004322767;1.001449204
1878.12;3.45;0.18;0.994236311;0.004347826;0.998584137
1879.01;3.58;0.18;1.037681159;0.004189944;1.041871103
1879.02;3.71;0.18;1.036312849;0.004043127;1.040355976
1879.03;3.65;0.19;0.983827493;0.0043379;0.988165393
1879.04;3.77;0.19;1.032876712;0.004199823;1.037076535
1879.05;3.94;0.19;1.045092838;0.004018613;1.049111451
1879.06;3.96;0.19;1.005076142;0.003998316;1.009074458
1879.07;4.04;0.19;1.02020202;0.003919142;1.024121162
1879.08;4.07;0.19;1.007425743;0.003890254;1.011315997
1879.09;4.22;0.2;1.036855037;0.003949447;1.040804484
1879.1;4.68;0.2;1.109004739;0.003561254;1.112565993
1879.11;4.93;0.2;1.053418803;0.003380663;1.056799466
1879.12;4.92;0.2;0.997971602;0.003387534;1.001359136
1880.01;5.11;0.21;1.038617886;0.003424658;1.042042544
1880.02;5.2;0.21;1.017612524;0.003365385;1.020977909
1880.03;5.3;0.22;1.019230769;0.003459119;1.022689888
1880.04;5.18;0.22;0.977358491;0.003539254;0.980897745
1880.05;4.77;0.23;0.920849421;0.004018169;0.92486759
1880.06;4.79;0.23;1.004192872;0.004001392;1.008194264
1880.07;5.01;0.24;1.045929019;0.003992016;1.049921035
1880.08;5.19;0.24;1.035928144;0.003853565;1.039781709
1880.09;5.18;0.25;0.998073218;0.004021879;1.002095097
1880.1;5.33;0.25;1.028957529;0.003908693;1.032866222
1880.11;5.61;0.26;1.052532833;0.003862151;1.056394984
1880.12;5.84;0.26;1.040998217;0.003710046;1.044708263
1881.01;6.19;0.27;1.059931507;0.003634895;1.063566402
1881.02;6.17;0.27;0.996768982;0.003646677;1.000415659
1881.03;6.24;0.28;1.011345219;0.003739316;1.015084535
1881.04;6.22;0.28;0.996794872;0.00375134;1.000546212
1881.05;6.5;0.29;1.045016077;0.003717949;1.048734026
1881.06;6.58;0.29;1.012307692;0.003672746;1.015980438
1881.07;6.35;0.3;0.965045593;0.003937008;0.968982601
1881.08;6.2;0.3;0.976377953;0.004032258;0.980410211
1881.09;6.25;0.31;1.008064516;0.004133333;1.012197849
1881.1;6.15;0.31;0.984;0.004200542;0.988200542
1881.11;6.19;0.32;1.006504065;0.004308024;1.010812089
1881.12;6.01;0.32;0.97092084;0.004437049;0.975357889
1882.01;5.92;0.32;0.985024958;0.004504505;0.989529463
1882.02;5.79;0.32;0.978040541;0.004605642;0.982646183
1882.03;5.78;0.32;0.998272884;0.00461361;1.002886494
1882.04;5.78;0.32;1;0.00461361;1.00461361
1882.05;5.71;0.32;0.987889273;0.004670169;0.992559442
1882.06;5.68;0.32;0.99474606;0.004694836;0.999440896
1882.07;6;0.32;1.056338028;0.004444444;1.060782472
1882.08;6.18;0.32;1.03;0.004314995;1.034314995
1882.09;6.24;0.32;1.009708738;0.004273504;1.013982242
1882.1;6.07;0.32;0.97275641;0.004393191;0.977149601
1882.11;5.81;0.32;0.957166392;0.004589788;0.96175618
1882.12;5.84;0.32;1.005163511;0.00456621;1.009729721
1883.01;5.81;0.32;0.994863014;0.004589788;0.999452802
1883.02;5.68;0.32;0.977624785;0.004694836;0.982319621
1883.03;5.75;0.32;1.012323944;0.004637681;1.016961625
1883.04;5.87;0.32;1.020869565;0.004542873;1.025412438
1883.05;5.77;0.32;0.982964225;0.004621606;0.987585831
1883.06;5.82;0.33;1.008665511;0.004725086;1.013390597
1883.07;5.73;0.33;0.984536082;0.004799302;0.989335384
1883.08;5.47;0.33;0.954624782;0.005027422;0.959652204
1883.09;5.53;0.33;1.010968921;0.004972875;1.015941796
1883.1;5.38;0.33;0.972875226;0.005111524;0.97798675
1883.11;5.46;0.33;1.014869888;0.00503663;1.019906518
1883.12;5.34;0.33;0.978021978;0.005149813;0.983171791
1884.01;5.18;0.33;0.970037453;0.00530888;0.975346333
1884.02;5.32;0.33;1.027027027;0.005169173;1.0321962
1884.03;5.3;0.33;0.996240602;0.005188679;1.001429281
1884.04;5.06;0.32;0.954716981;0.005270092;0.959987073
1884.05;4.65;0.32;0.918972332;0.005734767;0.924707099
1884.06;4.46;0.32;0.959139785;0.005979073;0.965118858
1884.07;4.46;0.32;1;0.005979073;1.005979073
1884.08;4.74;0.32;1.062780269;0.005625879;1.068406148
1884.09;4.59;0.32;0.96835443;0.005809731;0.974164161
1884.1;4.44;0.31;0.967320261;0.005818318;0.973138579
1884.11;4.35;0.31;0.97972973;0.005938697;0.985668427
1884.12;4.34;0.31;0.997701149;0.005952381;1.00365353
1885.01;4.24;0.3;0.976958525;0.005896226;0.982854751
1885.02;4.37;0.3;1.030660377;0.005720824;1.036381201
1885.03;4.38;0.29;1.00228833;0.005517504;1.007805834
1885.04;4.37;0.29;0.997716895;0.00553013;1.003247025
1885.05;4.32;0.28;0.988558352;0.005401235;0.993959587
1885.06;4.3;0.28;0.99537037;0.005426357;1.000796727
1885.07;4.46;0.27;1.037209302;0.005044843;1.042254145
1885.08;4.71;0.26;1.056053812;0.004600142;1.060653954
1885.09;4.65;0.26;0.987261146;0.004659498;0.991920644
1885.1;4.92;0.25;1.058064516;0.004234417;1.062298933
1885.11;5.24;0.25;1.06504065;0.003975827;1.069016477
1885.12;5.2;0.24;0.992366412;0.003846154;0.996212566
1886.01;5.2;0.24;1;0.003846154;1.003846154
1886.02;5.3;0.24;1.019230769;0.003773585;1.023004354
1886.03;5.19;0.24;0.979245283;0.003853565;0.983098848
1886.04;5.12;0.23;0.986512524;0.00374349;0.990256014
1886.05;5.02;0.23;0.98046875;0.003818061;0.984286811
1886.06;5.25;0.23;1.045816733;0.003650794;1.049467527
1886.07;5.33;0.23;1.015238095;0.003595997;1.018834092
1886.08;5.37;0.23;1.00750469;0.003569212;1.011073902
1886.09;5.51;0.23;1.026070764;0.003478524;1.029549288
1886.1;5.65;0.22;1.025408348;0.003244838;1.028653186
1886.11;5.79;0.22;1.024778761;0.003166379;1.02794514
1886.12;5.64;0.22;0.974093264;0.003250591;0.977343855
1887.01;5.58;0.22;0.989361702;0.003285544;0.992647246
1887.02;5.54;0.23;0.992831541;0.003459687;0.996291228
1887.03;5.67;0.23;1.023465704;0.003380364;1.026846068
1887.04;5.8;0.23;1.02292769;0.003304598;1.026232288
1887.05;5.9;0.23;1.017241379;0.003248588;1.020489967
1887.06;5.73;0.24;0.971186441;0.003490401;0.974676842
1887.07;5.59;0.24;0.97556719;0.003577818;0.979145008
1887.08;5.45;0.24;0.974955277;0.003669725;0.978625002
1887.09;5.38;0.24;0.987155963;0.003717472;0.990873435
