Date;S&P;Dividend;S&P precent;Dividend percent;Total percent
1871.01;4.44;0.26;0;0.00487988;0.00487988
1871.02;4.5;0.26;0.013513514;0.004814815;0.018328329
1871.03;4.61;0.26;0.024444444;0.004699928;0.029144372
1871.04;4.74;0.26;0.028199566;0.004571027;0.032770593
1871.05;4.86;0.26;0.025316456;0.004458162;0.029774618
1871.06;4.82;0.26;-0.008230453;0.004495159;-0.003735294
1871.07;4.73;0.26;-0.018672199;0.004580691;-0.014091508
1871.08;4.79;0.26;0.012684989;0.004523312;0.017208301
1871.09;4.84;0.26;0.010438413;0.004476584;0.014914997
1871.1;4.59;0.26;-0.051652893;0.004720407;-0.046932486
1871.11;4.64;0.26;0.010893246;0.00466954;0.015562786
1871.12;4.74;0.26;0.021551724;0.004571027;0.026122751
1872.01;4.86;0.26;0.025316456;0.004458162;0.029774618
1872.02;4.88;0.27;0.004115226;0.004610656;0.008725882
1872.03;5.04;0.27;0.032786885;0.004464286;0.037251171
1872.04;5.18;0.27;0.027777778;0.004343629;0.032121407
1872.05;5.18;0.28;0;0.004504505;0.004504505
1872.06;5.13;0.28;-0.00965251;0.004548408;-0.005104102
1872.07;5.1;0.28;-0.005847953;0.004575163;-0.00127279
1872.08;5.04;0.29;-0.011764706;0.004794974;-0.006969732
1872.09;4.95;0.29;-0.017857143;0.004882155;-0.012974988
1872.1;4.97;0.29;0.004040404;0.004862508;0.008902912
1872.11;4.95;0.3;-0.004024145;0.005050505;0.00102636
1872.12;5.07;0.3;0.024242424;0.004930966;0.02917339
1873.01;5.11;0.3;0.007889546;0.004892368;0.012781914
1873.02;5.15;0.31;0.007827789;0.005016181;0.01284397
1873.03;5.11;0.31;-0.00776699;0.005055447;-0.002711543
1873.04;5.04;0.31;-0.01369863;0.005125661;-0.008572969
1873.05;5.05;0.31;0.001984127;0.005115512;0.007099639
1873.06;4.98;0.32;-0.013861386;0.005354752;-0.008506634
1873.07;4.97;0.32;-0.002008032;0.005365526;0.003357494
1873.08;4.97;0.32;0;0.005365526;0.005365526
1873.09;4.59;0.32;-0.076458753;0.005809731;-0.070649022
1873.1;4.19;0.33;-0.087145969;0.006563246;-0.080582723
1873.11;4.04;0.33;-0.035799523;0.006806931;-0.028992592
1873.12;4.42;0.33;0.094059406;0.006221719;0.100281125
1874.01;4.66;0.33;0.054298643;0.005901288;0.060199931
1874.02;4.8;0.33;0.030042918;0.005729167;0.035772085
1874.03;4.73;0.33;-0.014583333;0.005813953;-0.00876938
1874.04;4.6;0.33;-0.027484144;0.005978261;-0.021505883
1874.05;4.48;0.33;-0.026086957;0.006138393;-0.019948564
1874.06;4.46;0.33;-0.004464286;0.006165919;0.001701633
1874.07;4.46;0.33;0;0.006165919;0.006165919
1874.08;4.47;0.33;0.002242152;0.006152125;0.008394277
1874.09;4.54;0.33;0.015659955;0.006057269;0.021717224
1874.1;4.53;0.33;-0.002202643;0.00607064;0.003867997
1874.11;4.57;0.33;0.008830022;0.006017505;0.014847527
1874.12;4.54;0.33;-0.006564551;0.006057269;-0.000507282
1875.01;4.54;0.33;0;0.006057269;0.006057269
1875.02;4.53;0.33;-0.002202643;0.00607064;0.003867997
1875.03;4.59;0.32;0.013245033;0.005809731;0.019054764
1875.04;4.65;0.32;0.013071895;0.005734767;0.018806662
1875.05;4.47;0.32;-0.038709677;0.005965697;-0.03274398
1875.06;4.38;0.32;-0.020134228;0.00608828;-0.014045948
1875.07;4.39;0.31;0.002283105;0.005884586;0.008167691
1875.08;4.41;0.31;0.004555809;0.005857899;0.010413708
1875.09;4.37;0.31;-0.009070295;0.005911518;-0.003158777
1875.1;4.3;0.31;-0.016018307;0.006007752;-0.010010555
1875.11;4.37;0.3;0.01627907;0.005720824;0.021999894
1875.12;4.37;0.3;0;0.005720824;0.005720824
1876.01;4.46;0.3;0.020594966;0.005605381;0.026200347
1876.02;4.52;0.3;0.013452915;0.005530973;0.018983888
1876.03;4.51;0.3;-0.002212389;0.005543237;0.003330848
1876.04;4.34;0.3;-0.037694013;0.005760369;-0.031933644
1876.05;4.18;0.3;-0.036866359;0.005980861;-0.030885498
1876.06;4.15;0.3;-0.007177033;0.006024096;-0.001152937
1876.07;4.1;0.3;-0.012048193;0.006097561;-0.005950632
1876.08;3.93;0.3;-0.041463415;0.006361323;-0.035102092
1876.09;3.69;0.3;-0.061068702;0.006775068;-0.054293634
1876.1;3.67;0.3;-0.005420054;0.006811989;0.001391935
1876.11;3.6;0.3;-0.019073569;0.006944444;-0.012129125
1876.12;3.58;0.3;-0.005555556;0.00698324;0.001427684
1877.01;3.55;0.29;-0.008379888;0.006807512;-0.001572376
1877.02;3.34;0.28;-0.05915493;0.006986028;-0.052168902
1877.03;3.17;0.27;-0.050898204;0.007097792;-0.043800412
1877.04;2.94;0.26;-0.072555205;0.007369615;-0.06518559
1877.05;2.94;0.25;0;0.007086168;0.007086168
1877.06;2.73;0.25;-0.071428571;0.007631258;-0.063797313
1877.07;2.85;0.24;0.043956044;0.007017544;0.050973588
1877.08;3.05;0.23;0.070175439;0.006284153;0.076459592
1877.09;3.24;0.22;0.062295082;0.005658436;0.067953518
1877.1;3.31;0.21;0.021604938;0.005287009;0.026891947
1877.11;3.26;0.2;-0.01510574;0.005112474;-0.009993266
1877.12;3.25;0.19;-0.003067485;0.004871795;0.00180431
1878.01;3.25;0.19;0;0.004871795;0.004871795
1878.02;3.18;0.19;-0.021538462;0.004979036;-0.016559426
1878.03;3.24;0.19;0.018867925;0.004886831;0.023754756
1878.04;3.33;0.19;0.027777778;0.004754755;0.032532533
1878.05;3.34;0.19;0.003003003;0.004740519;0.007743522
1878.06;3.41;0.19;0.020958084;0.004643206;0.02560129
1878.07;3.48;0.18;0.020527859;0.004310345;0.024838204
1878.08;3.45;0.18;-0.00862069;0.004347826;-0.004272864
1878.09;3.52;0.18;0.020289855;0.004261364;0.024551219
1878.1;3.48;0.18;-0.011363636;0.004310345;-0.007053291
1878.11;3.47;0.18;-0.002873563;0.004322767;0.001449204
1878.12;3.45;0.18;-0.005763689;0.004347826;-0.001415863
1879.01;3.58;0.18;0.037681159;0.004189944;0.041871103
1879.02;3.71;0.18;0.036312849;0.004043127;0.040355976
1879.03;3.65;0.19;-0.016172507;0.0043379;-0.011834607
1879.04;3.77;0.19;0.032876712;0.004199823;0.037076535
1879.05;3.94;0.19;0.045092838;0.004018613;0.049111451
1879.06;3.96;0.19;0.005076142;0.003998316;0.009074458
1879.07;4.04;0.19;0.02020202;0.003919142;0.024121162
1879.08;4.07;0.19;0.007425743;0.003890254;0.011315997
1879.09;4.22;0.2;0.036855037;0.003949447;0.040804484
1879.1;4.68;0.2;0.109004739;0.003561254;0.112565993
1879.11;4.93;0.2;0.053418803;0.003380663;0.056799466
1879.12;4.92;0.2;-0.002028398;0.003387534;0.001359136
1880.01;5.11;0.21;0.038617886;0.003424658;0.042042544
1880.02;5.2;0.21;0.017612524;0.003365385;0.020977909
1880.03;5.3;0.22;0.019230769;0.003459119;0.022689888
1880.04;5.18;0.22;-0.022641509;0.003539254;-0.019102255
1880.05;4.77;0.23;-0.079150579;0.004018169;-0.07513241
1880.06;4.79;0.23;0.004192872;0.004001392;0.008194264
1880.07;5.01;0.24;0.045929019;0.003992016;0.049921035
1880.08;5.19;0.24;0.035928144;0.003853565;0.039781709
1880.09;5.18;0.25;-0.001926782;0.004021879;0.002095097
1880.1;5.33;0.25;0.028957529;0.003908693;0.032866222
1880.11;5.61;0.26;0.052532833;0.003862151;0.056394984
1880.12;5.84;0.26;0.040998217;0.003710046;0.044708263
1881.01;6.19;0.27;0.059931507;0.003634895;0.063566402
1881.02;6.17;0.27;-0.003231018;0.003646677;0.000415659
1881.03;6.24;0.28;0.011345219;0.003739316;0.015084535
1881.04;6.22;0.28;-0.003205128;0.00375134;0.000546212
1881.05;6.5;0.29;0.045016077;0.003717949;0.048734026
1881.06;6.58;0.29;0.012307692;0.003672746;0.015980438
1881.07;6.35;0.3;-0.034954407;0.003937008;-0.031017399
1881.08;6.2;0.3;-0.023622047;0.004032258;-0.019589789
1881.09;6.25;0.31;0.008064516;0.004133333;0.012197849
1881.1;6.15;0.31;-0.016;0.004200542;-0.011799458
1881.11;6.19;0.32;0.006504065;0.004308024;0.010812089
1881.12;6.01;0.32;-0.02907916;0.004437049;-0.024642111
1882.01;5.92;0.32;-0.014975042;0.004504505;-0.010470537
1882.02;5.79;0.32;-0.021959459;0.004605642;-0.017353817
1882.03;5.78;0.32;-0.001727116;0.00461361;0.002886494
1882.04;5.78;0.32;0;0.00461361;0.00461361
1882.05;5.71;0.32;-0.012110727;0.004670169;-0.007440558
1882.06;5.68;0.32;-0.00525394;0.004694836;-0.000559104
1882.07;6;0.32;0.056338028;0.004444444;0.060782472
1882.08;6.18;0.32;0.03;0.004314995;0.034314995
1882.09;6.24;0.32;0.009708738;0.004273504;0.013982242
1882.1;6.07;0.32;-0.02724359;0.004393191;-0.022850399
1882.11;5.81;0.32;-0.042833608;0.004589788;-0.03824382
1882.12;5.84;0.32;0.005163511;0.00456621;0.009729721
1883.01;5.81;0.32;-0.005136986;0.004589788;-0.000547198
1883.02;5.68;0.32;-0.022375215;0.004694836;-0.017680379
1883.03;5.75;0.32;0.012323944;0.004637681;0.016961625
1883.04;5.87;0.32;0.020869565;0.004542873;0.025412438
1883.05;5.77;0.32;-0.017035775;0.004621606;-0.012414169
1883.06;5.82;0.33;0.008665511;0.004725086;0.013390597
1883.07;5.73;0.33;-0.015463918;0.004799302;-0.010664616
1883.08;5.47;0.33;-0.045375218;0.005027422;-0.040347796
1883.09;5.53;0.33;0.010968921;0.004972875;0.015941796
1883.1;5.38;0.33;-0.027124774;0.005111524;-0.02201325
1883.11;5.46;0.33;0.014869888;0.00503663;0.019906518
1883.12;5.34;0.33;-0.021978022;0.005149813;-0.016828209
1884.01;5.18;0.33;-0.029962547;0.00530888;-0.024653667
1884.02;5.32;0.33;0.027027027;0.005169173;0.0321962
1884.03;5.3;0.33;-0.003759398;0.005188679;0.001429281
1884.04;5.06;0.32;-0.045283019;0.005270092;-0.040012927
1884.05;4.65;0.32;-0.081027668;0.005734767;-0.075292901
1884.06;4.46;0.32;-0.040860215;0.005979073;-0.034881142
1884.07;4.46;0.32;0;0.005979073;0.005979073
1884.08;4.74;0.32;0.062780269;0.005625879;0.068406148
1884.09;4.59;0.32;-0.03164557;0.005809731;-0.025835839
1884.1;4.44;0.31;-0.032679739;0.005818318;-0.026861421
1884.11;4.35;0.31;-0.02027027;0.005938697;-0.014331573
1884.12;4.34;0.31;-0.002298851;0.005952381;0.00365353
1885.01;4.24;0.3;-0.023041475;0.005896226;-0.017145249
1885.02;4.37;0.3;0.030660377;0.005720824;0.036381201
1885.03;4.38;0.29;0.00228833;0.005517504;0.007805834
1885.04;4.37;0.29;-0.002283105;0.00553013;0.003247025
1885.05;4.32;0.28;-0.011441648;0.005401235;-0.006040413
1885.06;4.3;0.28;-0.00462963;0.005426357;0.000796727
1885.07;4.46;0.27;0.037209302;0.005044843;0.042254145
1885.08;4.71;0.26;0.056053812;0.004600142;0.060653954
1885.09;4.65;0.26;-0.012738854;0.004659498;-0.008079356
1885.1;4.92;0.25;0.058064516;0.004234417;0.062298933
1885.11;5.24;0.25;0.06504065;0.003975827;0.069016477
1885.12;5.2;0.24;-0.007633588;0.003846154;-0.003787434
1886.01;5.2;0.24;0;0.003846154;0.003846154
1886.02;5.3;0.24;0.019230769;0.003773585;0.023004354
1886.03;5.19;0.24;-0.020754717;0.003853565;-0.016901152
1886.04;5.12;0.23;-0.013487476;0.00374349;-0.009743986
1886.05;5.02;0.23;-0.01953125;0.003818061;-0.015713189
1886.06;5.25;0.23;0.045816733;0.003650794;0.049467527
1886.07;5.33;0.23;0.015238095;0.003595997;0.018834092
1886.08;5.37;0.23;0.00750469;0.003569212;0.011073902
1886.09;5.51;0.23;0.026070764;0.003478524;0.029549288
1886.1;5.65;0.22;0.025408348;0.003244838;0.028653186
1886.11;5.79;0.22;0.024778761;0.003166379;0.02794514
1886.12;5.64;0.22;-0.025906736;0.003250591;-0.022656145
1887.01;5.58;0.22;-0.010638298;0.003285544;-0.007352754
1887.02;5.54;0.23;-0.007168459;0.003459687;-0.003708772
1887.03;5.67;0.23;0.023465704;0.003380364;0.026846068
1887.04;5.8;0.23;0.02292769;0.003304598;0.026232288
1887.05;5.9;0.23;0.017241379;0.003248588;0.020489967
1887.06;5.73;0.24;-0.028813559;0.003490401;-0.025323158
1887.07;5.59;0.24;-0.02443281;0.003577818;-0.020854992
1887.08;5.45;0.24;-0.025044723;0.003669725;-0.021374998
1887.09;5.38;0.24;-0.012844037;0.003717472;-0.009126565
1887.1;5.2;0.25;-0.033457249;0.00400641;-0.029450839
1887.11;5.3;0.25;0.019230769;0.003930818;0.023161587
1887.12;5.27;0.25;-0.005660377;0.003953194;-0.001707183
1888.01;5.31;0.25;0.007590133;0.003923415;0.011513548
1888.02;5.28;0.25;-0.005649718;0.003945707;-0.001704011
1888.03;5.08;0.25;-0.037878788;0.00410105;-0.033777738
1888.04;5.1;0.24;0.003937008;0.003921569;0.007858577
1888.05;5.17;0.24;0.01372549;0.003868472;0.017593962
1888.06;5.01;0.24;-0.030947776;0.003992016;-0.02695576
1888.07;5.14;0.24;0.025948104;0.003891051;0.029839155
1888.08;5.25;0.24;0.021400778;0.003809524;0.025210302
1888.09;5.38;0.24;0.024761905;0.003717472;0.028479377
1888.1;5.35;0.23;-0.005576208;0.003582555;-0.001993653
1888.11;5.24;0.23;-0.020560748;0.003657761;-0.016902987
1888.12;5.14;0.23;-0.019083969;0.003728923;-0.015355046
1889.01;5.24;0.23;0.019455253;0.003657761;0.023113014
